,country_name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
319,Senegal,2021,4.902830601,8.127270699,0.645179272,60.0,0.758525133,0.034219597,0.82134825,0.812411606,0.264975786,0.454221755
320,Serbia,2017,5.122031212,9.717821121,0.883770406,66.65000153,0.684846342,-0.07936617,0.851457834,0.484643012,0.326407075,0.511197984
321,Serbia,2018,5.936493397,9.767254829,0.852945328,66.77500153,0.739891827,-0.10154549,0.863723576,0.527079105,0.296295851,0.476144999
322,Serbia,2019,6.241407394,9.815026283,0.903294265,66.90000153,0.752504587,-0.042076003,0.813141823,0.474295795,0.24213022,0.473505408
323,Serbia,2020,6.041546345,9.810878754,0.852101862,67.02500153,0.843479872,0.146143466,0.824472487,0.579138815,0.357580274,0.524143338
324,Serbia,2021,6.245267391,9.874162674,0.890106082,67.15000153,0.850367904,0.26693216,0.806221604,0.567632556,0.311130971,0.605454803
325,Slovakia,2017,6.365509033,10.31100178,0.913386643,68.05000305,0.714224696,-0.054639958,0.920422673,0.709385633,0.21272248,0.34168008
326,Slovakia,2018,6.23511076,10.34685898,0.922378719,68.27500153,0.757634044,-0.167493463,0.909944654,0.669736266,0.253190041,0.327658623
327,Slovakia,2019,6.243428707,10.37122631,0.933088303,68.5,0.771121562,-0.129276663,0.925846696,0.676153421,0.251806319,0.230972826
328,Slovakia,2020,6.519098282,10.32580185,0.954159975,68.72499847,0.76189661,-0.076592401,0.900533676,0.694529951,0.274447888,0.307444513
329,Slovakia,2021,6.418503761,10.35686398,0.951163888,68.94999695,0.74153322,0.048633955,0.895546556,0.69156754,0.241131321,0.215807587
330,Slovenia,2017,6.166837692,10.50527477,0.928187847,70.34999847,0.920862675,-0.027021039,0.828794718,0.582310796,0.285601437,0.239779726
331,Slovenia,2018,6.249419212,10.54492378,0.940971196,70.52500153,0.942045867,-0.12117143,0.839252532,0.601195991,0.27548486,0.239274636
332,Slovenia,2019,6.665273666,10.56994915,0.949402273,70.69999695,0.945430517,-0.104521476,0.785441816,0.621658623,0.227838457,0.397150725
333,Slovenia,2020,6.462076187,10.52112961,0.953437507,70.875,0.958442569,-0.086754218,0.796557486,0.574927151,0.313852519,0.45297423
334,Slovenia,2021,6.761220932,10.57335091,0.955252588,71.05000305,0.851086736,0.030901229,0.754198194,0.642823279,0.261042506,0.339235812
335,South Africa,2017,4.513655186,9.536782265,0.870313287,55.15000153,0.787427902,-0.136225283,0.864781916,0.708703458,0.268175244,0.423274219
336,South Africa,2018,4.8839221,9.537911415,0.841343999,55.67499924,0.752731323,-0.058371451,0.841192603,0.73595494,0.282708496,0.5246858
337,South Africa,2019,5.034863472,9.525877953,0.847719729,56.20000076,0.73833853,-0.14204447,0.819823623,0.727414131,0.268456221,0.495906323
338,South Africa,2020,4.946800709,9.446662903,0.891050339,56.72499847,0.756946266,-0.024403915,0.912407219,0.76058358,0.294276476,0.517606676
339,South Africa,2021,5.598653793,9.48507309,0.922238767,57.25,0.703564703,-0.142795756,0.891578615,0.78432101,0.172806978,0.508961499
340,South Korea,2017,5.873887062,10.6202879,0.806929946,72.55000305,0.538113713,0.012043351,0.850690424,0.545988142,0.234825626,0.358582199
341,South Korea,2018,5.840231419,10.6441946,0.79772383,72.82499695,0.600161672,-0.091402687,0.796825886,0.578780234,0.217145726,0.389084011
342,South Korea,2019,5.902816772,10.66440201,0.783160865,73.09999847,0.706032395,-0.057978813,0.71769613,0.593178034,0.235966519,0.376757592
343,South Korea,2020,5.792695522,10.65446377,0.807952285,73.375,0.711480439,-0.108758755,0.664694011,0.549814105,0.247059658,0.448309243
344,South Korea,2021,6.112745285,10.69212723,0.810740769,73.65000153,0.717086375,-0.029297361,0.685114563,0.566271067,0.22117126,0.433829188
345,Spain,2017,6.230173111,10.58478832,0.903158188,71.84999847,0.755560756,-0.03434835,0.791268766,0.601178527,0.302387655,0.269585967
346,Spain,2018,6.513370991,10.60303783,0.910314679,71.97499847,0.7222507,-0.077235363,0.776504457,0.63557899,0.357190847,0.285195619
347,Spain,2019,6.457449436,10.6165266,0.949013472,72.09999847,0.777966738,-0.050898876,0.73033762,0.636199594,0.31551832,0.367785871
348,Spain,2020,6.502175331,10.497365,0.934934676,72.22499847,0.783256531,-0.123564944,0.729977489,0.671131015,0.316617101,0.381767094
349,Spain,2021,6.469611168,10.53658772,0.926416755,72.34999847,0.781794965,-0.071897864,0.729346991,0.639074683,0.323980331,0.371703804
350,Sri Lanka,2017,4.330945492,9.440189362,0.822770596,66.80000305,0.827077389,0.092482321,0.844210029,0.728681266,0.269727528,0.517589927
351,Sri Lanka,2018,4.435023785,9.461901665,0.832882166,66.90000153,0.858873606,0.104748286,0.855907619,0.773361444,0.301813632,0.582941115
352,Sri Lanka,2019,4.213299274,9.478084564,0.814939141,67.0,0.824277341,0.0498989,0.863342285,0.753170788,0.314542711,0.569042027
353,Sri Lanka,2020,4.778489113,9.436434746,0.842499971,67.09999847,0.803484857,-0.043379724,0.768454254,0.758137345,0.285134345,0.752756536
354,Sri Lanka,2021,4.10344696,9.463738441,0.812373936,67.19999695,0.771430016,-0.006883008,0.848541498,0.733172596,0.311583638,0.504923344
